,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,34,2969.24122632726,2822.84452935746,2807.23946289057,2911.16392394364,2836.69303730709,2809.62617071964,2832.16044982439,2889.54075243038,2892.10935994529,2874.49425310735,2893.5044001019,2911.98431744302,2892.12100655793,2855.57695570384,2937.58244281842,2945.80597209895,2936.39568396438,2915.04758495275,2967.23435885705,2937.78572929464,2978.4498612519,3071.2049210773,3016.2001552198,2953.1905845843
,35,2959.76249172918,2819.45386178081,2849.43541809034,2911.62710036784,2837.17362704328,2812.40282048418,2829.66055753858,2890.35858234178,2912.4344685744,2875.3211605671,2901.04863066022,2911.91529088865,2893.5245841785,2858.25312315497,2949.23699384634,2943.43019288281,2938.07308486982,2954.4556878786,2969.96671927667,2935.36032748599,2985.65725731055,3069.33369654526,3011.836676067,2962.94833861998
,36,2947.43472874468,2818.85582312641,2898.11412628514,2916.54345824488,2834.22639882052,2812.90922009536,2828.05830901069,2887.12149057347,2922.06972717157,2873.84580820021,2896.5404010626,2921.37161352221,2894.69178206461,2853.48013545004,2961.26070292125,2947.3184760401,2937.47073551043,2997.84923898386,2965.98067581623,2938.37690199063,2994.18163361251,3072.92893112127,3013.96191302897,2971.13528933184
,37,2937.25198018072,2817.60319711809,2921.35113891212,2913.77149812059,2836.33248959312,2820.16955013041,2829.04277423808,2885.93483570672,2934.35756992805,2875.30971473452,2899.20257527121,2937.27548984937,2892.93390820264,2854.7761962244,2977.91609373817,2943.50917496703,2943.79165427205,3040.61871421624,2967.3492373842,2935.31443610737,3010.09775372464,3070.03388442572,3015.11366738559,2982.10764189109
,38,2927.38752514592,2819.83698939214,2916.2629493064,2917.09534523628,2841.20857092973,2827.70983391517,2826.78670549861,2890.93512322396,2940.35806765479,2874.09956448289,2898.11280458009,2952.09933909692,2892.46807626308,2857.67595756218,2986.17610765471,2946.75152468097,2941.43649251549,3071.26912870503,2969.55197823147,2938.91536439664,3027.50307105948,3069.24437571948,3019.75896359178,2997.69978702206
,39,2921.84280816311,2815.22847993096,2899.66630714413,2917.92360818756,2838.01992715208,2837.63227351627,2831.20986563306,2889.55305451108,2954.56597202463,2879.2496596832,2896.62011336988,2964.518827874,2894.20088725098,2859.58701012455,3001.91104328468,2944.40897681794,2941.63118261253,3091.62215309897,2969.16886305694,2936.93052346616,3042.74472769951,3070.97416968597,3016.59089252455,3010.49111792301
,40,2911.82810246866,2817.43672143917,2874.46332014629,2911.38005467352,2839.06141334641,2847.28523001078,2831.96178099584,2892.58672243319,2964.17821336528,2876.12192081477,2899.17691107621,2970.68779604783,2894.33633922779,2857.75387030651,3015.178387586,2944.40295149861,2941.25754038071,3096.90660664669,2969.87666070582,2938.74496746433,3053.27152129131,3070.98927441868,3022.52016634885,3026.44067538351
,41,2902.21369683868,2822.24721282771,2856.25780928537,2914.47832739895,2838.54275845393,2858.53203097853,2830.18339254147,2888.7075331319,2983.66527214248,2874.57104049403,2899.92464952764,2979.20874754672,2891.82944634604,2863.44504603804,3019.8102883408,2943.12365015049,2945.39088649592,3099.05260524127,2970.830465236,2941.84723376729,3069.75955808389,3068.70261892829,3024.933003203,3042.76590297505
,42,2892.8412052172,2816.3279908336,2832.18394186617,2914.41972292049,2836.1978946317,2867.53046199089,2832.90143315836,2891.18176051075,3027.38984965498,2878.77216631263,2900.98038777195,2989.5817429369,2894.30963890989,2859.47651622662,3030.73493674411,2942.49096194717,2945.95123932407,3086.60330109631,2969.30567026359,2945.24096397982,3085.71375623054,3070.90981847119,3024.5576738468,3050.79136871748
,43,2886.83572689687,2818.86132711024,2815.05984282755,2916.31954365884,2841.09147421676,2883.00883970924,2834.42562529566,2891.36520347368,3093.4982291996,2874.90485260811,2899.58198913503,3015.61663318934,2894.79209045507,2863.0329115031,3042.37179242927,2946.16578043234,2948.92909768103,3077.74031906806,2966.20931780402,2945.26043213992,3095.86224261367,3065.01369643535,3028.57625423129,3060.13383270582
